Заголовок,Цена,Сколько осталось,Количество страниц,Год,Издательство
YoungAdultСумеречнаяЖажда Вульф Т.,1 035,Мало,c.752,2023,Эксмо
YoungAdultСумеречнаяЖажда Вульф Т.,1 035,Достаточно,c.800,2023,Эксмо
YoungAdultТемныеИЗлые Кэмпбелл Л. Кн.1 Коварная,785,Достаточно,c.384,2023,Эксмо
YoungAdultТемныеКоролевства Кей Ф. Кн.1,714,Мало,c.416,2024,Эксмо
YoungAdultТениИКороны Гейзер С. Кн.1 Песнь,785,Мало,c.608,2023,Эксмо
YoungAdultТениИКороны Гейзер С. Кн.2 Взмах,785,Мало,c.640,2023,Эксмо
YoungAdultТерриторииАльфа Майер Ш. Кн.1 Печать,714,Мало,c.416,2023,Эксмо
YoungAdultТерриторииАльфа Майер Ш. Кн.2 Жертва,714,Мало,c.384,2024,Эксмо
YoungAdultТринадцатаяФея Адриан Ю. Кн.1 Пробужденная,711,Достаточно,c.288,2022,Эксмо
YoungAdultТринадцатаяФея Адриан Ю. Кн.2 Плененная,711,Мало,c.352,2022,Эксмо
YoungAdultТронТеней Керибар Б. Кн.1 Наследница,735,Достаточно,c.448,2023,Эксмо
YoungAdultТуманыНуарвилля Фаррон Э. Кн.1 Клан,711,Мало,c.416,2023,Эксмо
YoungAdultТуманыНуарвилля Фаррон Э. Кн.2 Заговор,714,Мало,c.448,2023,Эксмо
YoungAdultТуманыПепельнойЛуны Кальдера Ж. Кн.1 Сад сломленных,711,Достаточно,c.416,2022,Эксмо
YoungAdultТуманыПепельнойЛуны Кальдера Ж. Кн.2 Симфония,761,Достаточно,c.416,2022,Эксмо
YoungAdultТуманыПепельнойЛуны Кальдера Ж. Кн.3 Небесные,932,Мало,c.384,2022,Эксмо
"YoungAdultТурнирКровавойЛуны Линн Эрман К.,Фуди А. Кн.1 Все мы",761,Мало,c.512,2022,Эксмо
YoungAdultФейриТьмы Кагава Д. Кн.1 Железный,814,Мало,c.448,2023,Эксмо
YoungAdultФейриТьмы Кагава Д. Кн.2 Железный,814,Мало,c.448,2024,Эксмо
YoungAdultФейриЯдовитыхШипов Муди К.Л. Кн.1 Двор ядовитых,733,Мало,c.416,2022,Эксмо
YoungAdultФейриЯдовитыхШипов Муди К.Л. Кн.2 Замок ядовитых,733,Достаточно,c.416,2022,Эксмо
YoungAdultФэнтези Блейк К. Три короны Кн.1 Три темные,585,Мало,c.448,2021,Эксмо
YoungAdultФэнтези Солсбери М. Королева-пугало (Дочь Пожирательницы,585,Мало,c.448,2020,Эксмо
YoungAdultФэнтезиИРомантика Так С. Ворриор и Пиас Кн.2 Гнев,890,Мало,c.672,2021,Эксмо
"YoungAdultХитыМолодежногоФэнтези Гурова М. Кн.1 Ежевика в долине. Король под горой (Цикл ""Спящий",586,Мало,c.384,2023,Эксмо
YoungAdultХитыМолодежногоФэнтези Поделинская С.,586,Достаточно,c.384,2023,Эксмо
YoungAdultХитыМолодежногоФэнтези Харос Р. Проклятие,586,Достаточно,c.320,2023,Эксмо
YoungAdultХолмИЛощина Киклайтер К. О звере и,711,Достаточно,c.352,2022,Эксмо
YoungAdultХранителиАрмы Андерс С. Кн.1 Схватка с,714,Мало,c.608,2023,Эксмо
YoungAdultХроникиСумерек Ягер Д. Кн.1 Прикосновение лунного,656,Мало,c.480,2021,Эксмо
YoungAdultХроникиСумерек Ягер Д. Кн.2 Душа,687,Мало,c.480,2022,Эксмо
YoungAdultЧетверкаДорог Линн Эрман К. Колода,687,Мало,c.480,2020,Эксмо
YoungAdultЧетверкаДорог Линн Эрман К. Пожирающая,687,Мало,c.480,2021,Эксмо
АбсолютноеОружие Головачёв В.В. Ведьмина,686,Мало,c.320,2024,Эксмо
АбсолютноеОружие Головачёв В.В. Время,661,Достаточно,c.288,2022,Эксмо
АбсолютноеОружие Головачёв В.В. Экзотеррика. Квантовый,664,Достаточно,c.320,2023,Эксмо
АзбукаБестселлер Барбери М. Странная,627,Мало,c.416,2019,"Азбука,АзбукаАттикус"
АкадемияМагии Алфеева Л. Его адептка. Светлая для,534,Мало,c.352,2022,Эксмо
АкадемияМагии Ли С. Экспедиция Жизни и,512,Мало,c.352,2022,Эксмо
АкадемияМагии Либрем А. Психология,534,Мало,c.480,2022,Эксмо
АкадемияМагии Мазуркевич Н.В. Кн.2 На все ответ-один,534,Достаточно,c.384,2022,Эксмо
АкадемияМагии Медведева А.П. Герои академии,564,Мало,c.384,2023,Эксмо
АкадемияМагии Минаева А.В. Первая тайна академии,512,Мало,c.320,2022,Эксмо
АкадемияМагии Одувалова А.С. Брюнетка в академии. Любимая игрушка,564,Мало,c.320,2023,Эксмо
АкадемияМагии Одувалова А.С. Несмертельные проклятья. Личная помощница,534,Мало,c.352,2022,Эксмо
АкадемияМагии Петровичева Л.К. Академия под,534,Достаточно,c.320,2022,Эксмо
АкадемияМагии Чернышова А. Очень драконий Новый,498,Мало,c.480,2022,Эксмо
АкадемияМертвыхДуш Старр М. Т.1 Неправильная,534,Достаточно,c.352,2022,Эксмо
АкадемияМертвыхДуш Старр М. Т.2 Нечаянная,564,Мало,c.352,2023,Эксмо
АкадемияМертвыхДуш Старр М. Т.3,586,Мало,c.352,2023,Эксмо
АкадемияПроклятий Звездная Е. Урок седьмой. Опасность кровного,555,Мало,c.384,2021,Эксмо
"Александрова Е.А. Проклятый капитан Кн.2 Колдовской знак (цикл ""Цепь и",633,Достаточно,c.352,2022,Эксмо
"Амаранты Forthright Кн.1 Порабощенный лис,",825,Мало,c.448,2023,ислород
Андрианова А.А. Песня,733,Мало,c.384,2022,Эксмо
"Арден Л. Кн.1 Во главе раздора (цикл ""Нити",664,Достаточно,c.480,2023,Эксмо
"Арден Л. Мара и Морок Кн.2 Особенная Тень (Цикл ""Смерть и",564,Мало,c.352,2023,Эксмо
"Арден Л. Пятый Дракон (цикл ""Четыре",864,Мало,c.512,2023,Эксмо
Ардова А. Господин моих ночей,586,Мало,c.352,2023,Эксмо
Ардова А. Господин моих ночей,586,Мало,c.352,2024,Эксмо
"Ардова А. Жена со скидкой (цикл ""Случайные",586,Мало,c.480,2023,Эксмо
Ахманов Клим Драконоборец и Зона Смерти (фантастичекий,279,Мало,c.313,2015,"Армада,Альфа-книга"
Бенкау Дж. Царство теней Кн.1 Ее темное,782,Достаточно,c.448,2022,Эксмо
Бенкау Дж. Царство теней Кн.2 Его дикое,811,Достаточно,c.448,2022,Эксмо
Берглер И. Потерянная,873,Мало,c.560,2018,КлубСемейногоДосуга
Бестселлеры Блейк О. Шестерка,888,Достаточно,c.528,2022,АСТ
БиблиотекаЛавкрафта Бенсон Э.Ф. Книги Судей,984,Мало,c.274,2022,РиполКлассик
БиблиотекаЛавкрафта Блэквуд Э. Кентавр,1 140,Мало,c.412,2023,РиполКлассик
БиблиотекаЛавкрафта Блэквуд Э. Песок,980,Мало,c.400,2023,РиполКлассик
БиблиотекаЛавкрафта Мейчен А. Зеленый,1 430,Мало,c.384,2023,РиполКлассик
БиблиотекаЛавкрафта Мейчен А. Сияющая пирамида,870,Мало,c.400,2023,РиполКлассик
БиблиотекаЛавкрафта Мейчен А. Смятение,1 430,Мало,c.528,2023,РиполКлассик
БиблиотекаЛавкрафта Мейчен А. Тайная слава,1 090,Мало,c.416,2023,РиполКлассик
БиблиотекаЛавкрафта Пейн Б. Обмен,1 068,Мало,c.298,2023,РиполКлассик
БиблиотекаЛавкрафта Чамберс Р. Король в,828,Мало,c.320,2023,РиполКлассик
"БоеваяФантастика Васильев С.А. Император из стали. Стальная хватка Империи,",616,Мало,c.480,2023,енинград
"БоеваяФантастика Герда А.В. Первое правило дворянина (роман),",587,Достаточно,c.352,2024,енинград
"БоеваяФантастика Ежов К.В. Точка преломления (цикл ""Электро""),",566,Достаточно,c.416,2023,енинград
"БоеваяФантастика Зайцев В.В. Дранг нах остен по-русски. Проверка боем,",537,Мало,c.352,2022,енинград
"БоеваяФантастика Земляной А.Б. Экспет по выживанию. Мастер лабиринтов,",587,Мало,c.352,2023,енинград
"БоеваяФантастика Игнатов М.П. Гардар. Дальний Рог,",537,Достаточно,c.352,2022,енинград
БоеваяФантастика Круз А. Близится,664,Достаточно,c.416,2023,Эксмо
БоеваяФантастика Круз А. Ветер над,664,Мало,c.480,2023,Эксмо
БоеваяФантастика Круз А.,664,Мало,c.384,2023,Эксмо
"БоеваяФантастика Лапиков М.А.,Уланов А. Глубокая охота,",566,Мало,c.384,2023,енинград
"БоеваяФантастика Михеев М.А. Время большой игры. Солдаты Третьей мировой,",587,Мало,c.352,2023,енинград
"БоеваяФантастика Муравьев К.Н Власть судьбы (цикл ""Пожиратель""),",537,Достаточно,c.352,2022,енинград
"БоеваяФантастика Немиров О. Земля! Визит родственников,",587,Мало,c.352,2023,енинград
"БоеваяФантастика Николаев М.П. Вторжение на Землю,",587,Мало,c.352,2023,енинград
"БоеваяФантастика Риддер А. Соболев. Пробуждение дара,",587,Мало,c.352,2023,енинград
"БоеваяФантастика Савенков Р.В. Поединщик,",537,Мало,c.352,2022,енинград
"БоеваяФантастика Сапегин А.П. Там, за горизонтом,",566,Мало,c.352,2023,енинград
"БоеваяФантастика Скальд Д. Кибер. Мастер,",566,Достаточно,c.352,2023,енинград
"БоеваяФантастика Трофимов Е. Бродяга,",566,Достаточно,c.352,2023,енинград
"БоеваяФантастика Фарутин А. Арсанты. Дети богов,",616,Достаточно,c.352,2024,енинград
"БоеваяФантастика Шопперт А.Г. Вовка-центровой. Среди легенд,",566,Мало,c.352,2023,енинград
